english	simplified	traditional	pinyin	japanese	related	frequency
world/CL:個|个[ge4]	世界		shi4 jie4			794.0
to link/to join/to connect/continuously/in succession/including/(used with 也, 都 etc) even/company (military)	连	連，連	lian2			275.0
to exploit/to make use of/to use/to take advantage of/to utilize	利用		li4 yong4			229.0
to advertise/a commercial/advertisement/CL:項|项[xiang4]	广告	廣告	guang3 gao4			132.0
nervous/keyed up/intense/tense/strained/in short supply/scarce/CL:陣|阵[zhen4]	紧张	緊張	jin3 zhang1			117.0
to stick/to paste/to post (e.g. on a blog)/to keep close to/to fit snugly/to subsidize/allowance (e.g. money for food or housing)/sticker/classifier for sticking plaster: strip	贴	貼	tie1			69.2
resentful/discontented/dissatisfied	不满	不滿	bu4 man3			55.0
(coll.) wife	老婆		lao3 po2			46.8
pregnant/to have conceived/gestation/pregnancy	怀孕	懷孕	huai2 yun4			36.3
to decorate/to dress/to make up/to adorn/manner of dressing/style of dress	打扮		da3 ban5			17.4
boss/superior	上司		shang4 si5			13.8
to fill or stuff/(of a form etc) to fill in	填		tian2			12.9
regular column or segment (in a publication or broadcast program)/program (TV or radio)	栏目	欄目	lan2 mu4			8.91
very good	挺好		ting3 hao3		挺，挺近，挺拔，坚挺	7.25
contraception	避孕		bi4 yun4			4.79
make noisy	打闹		da3 nao4		热闹，闹钟，闹事	2.95
to look (pretty, the same etc)	长得	長得	zhang3 de5			2.34
wife's mother, mother-in-law	岳母		yue4 mu3			2.04
to run away/to take to one's heels	跑掉		pao3 diao4			1.62
to ward off evil spirits/mythical lion-like animal that wards off evil (also called 貔貅[pi2 xiu1])	辟邪		bi4 xie2			0.445
(derog.) girlfriend of a married man/little bee	小蜜		xiao3 mi4			0.396
